TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,1.22974,0.419921,0.418678,1.20656,1.06864,0.100108,0.962115,0.521106,0.885812,0.698946,0,0.0205539
0.046439909,1.1401,0.320883,0.419057,1.13393,0.967188,0.178213,1.08482,0.433228,0.867667,0.826532,0,0.0721364
0.092879819,1.1247,0.247638,0.442302,1.12027,0.92941,0.198141,1.14905,0.386162,0.820187,0.806711,0,0.148707
0.139319728,0.534452,0.20512,0.363484,1.2299,0.992004,0.262737,1.1608,0.678811,0.441873,0.316783,0.159837,0.327584
0.185759637,0.35943,0.228133,0.337202,0.777638,0.985875,0.265035,1.0709,0.943995,0.40295,0.0744334,0.20472,0.897126
0.232199546,0.408999,0.183376,0.441803,0.833903,1.05446,0.305359,1.15994,0.83735,0.432349,0.108856,0.288289,0.874597
0.278639456,0.671938,0.199734,0.549213,1.0371,1.01238,0.173815,1.38214,0.630524,0.377779,0.301644,0.315897,0.686396
0.325079365,0.816096,0.216982,0.57065,1.19262,1.0119,0.139483,1.30049,0.646415,0.150565,0.375107,0.305405,0.620331
0.371519274,1.53023,0.977805,0.704378,1.27287,0.92308,0.170521,1.04405,0.391901,0.0979243,0.399677,0.182948,0.110154
0.417959184,2.2773,0.830201,1.35789,0.557846,0.521824,0.0322779,0.791813,0.15148,0.313743,0.398449,0.426954,0.274807
0.464399093,0.886692,1.13726,1.18675,0.563551,0.72779,0.0904808,0.289588,1.52601,0.69018,0.104132,0.214327,0.410667
0.510839002,1.29882,0.695079,0.712852,0.988619,1.20173,0.148829,0.765617,0.875199,0.545987,0.139174,0,0.17767
0.557278912,1.24708,0.548141,0.533965,1.03188,1.05613,0.134245,1.18602,0.728565,0.533487,0.299512,0,0.183128
0.603718821,1.19687,0.517748,0.472463,1.05974,1.01845,0.114973,1.30801,0.678971,0.49679,0.383269,0,0.0852699
0.650158730,1.41547,0.372503,1.05389,0.166488,1.07357,0.791376,0.861363,0.217527,0.798766,0.134151,0.0806499,0.672186
0.696598639,1.43626,0.321707,0.952349,0.171075,0.525173,1.05523,0.932175,0.134582,1.28767,0.153464,0.000595946,1.01183
0.743038549,1.40786,0.217452,0.745021,0.147915,0.345285,1.10554,0.812571,0.118205,1.46567,0.0664018,0.135884,1.35538
0.789478458,1.48337,0.217301,0.436342,0.0174362,0.373748,0.961981,0.510971,0.108595,1.41816,0.0011925,0.211085,1.54919
0.835918367,1.46262,0.541432,0.978452,0.0195358,0.448473,0.809274,0.209521,0.116458,1.2676,0.00140843,0.206061,1.4367
0.882358277,1.32089,0.346419,0.990783,0.137958,0.8023,0.630098,0.517415,0.166507,1.32985,0.000909776,0.0459094,1.31135
0.928798186,1.46847,0.13997,0.895401,0.291718,1.21423,0.191706,0.993069,0.298382,1.13209,0.0170613,0,0.76065
0.975238095,1.40027,0.592935,0.506383,1.10073,0.942221,0.121086,1.29473,0.435525,0.810423,0.432148,0,0.11715
1.021678005,1.45138,0.372042,0.531766,1.28662,0.875243,0.0836059,1.3588,0.371899,0.757209,0.539672,0.00012685,0.0510641
1.068117914,1.58403,0.128221,0.628979,1.15521,0.870863,0.107697,1.08574,0.378119,0.513346,0.502128,0.000539759,0.141917
